time,low,high,open,close,volume
1590796800,9326.43,9764,9423.85,9700.33,10509.70845135
1590710400,9330.01,9609.02,9580.01,9423.84,10415.42644355
1590624000,9112,9625,9208.53,9580.19,14511.07649252
1590537600,8811.46,9230,8844.41,9208.53,10936.69462637
1590451200,8694.23,9016.99,8900,8844.42,11507.43097855
1590364800,8632.93,8977,8715.69,8899.31,12328.24203695
1590278400,8680.7,9306.23,9181.09,8715.73,13004.34567862
1590192000,9090.11,9313.83,9168.84,9181.76,6878.84791748
1590105600,8923.5,9267.34,9059.32,9168.84,13731.91887098
1590019200,8800,9568,9509.4,9061.96,28081.22890941
1589932800,9294.54,9836.99,9783.57,9509.41,16895.55931908
1589846400,9463.22,9898,9728.52,9783.76,15229.63599741
1589760000,9436.97,9957.25,9677.45,9728.52,17710.29958398
1589673600,9325.81,9896,9380.01,9676.63,13540.66294076
1589587200,9215.01,9594.99,9312.1,9383.16,10782.32773503
1589500800,9120,9849,9795.34,9312.1,25180.97967322
1589414400,9257.15,9943.93,9320.85,9795.34,28752.36283943
1589328000,8803.97,9420.18,8821.41,9321.26,21357.63022841
1589241600,8534.85,8982.9,8572.4,8821.42,20219.31620692
1589155200,8185,9182.66,8729.86,8572.4,39999.37731433
1589068800,8106.7,9559.98,9537.21,8729.86,50909.84429757
1588982400,9521,9920.73,9810.01,9537.21,17931.1748552
1588896000,9730,10049,10000.37,9810,26363.71688893
1588809600,9028.89,10079,9155.79,10004.77,39447.57511824
1588723200,8922.13,9418,9028.78,9155.79,27650.87868274
1588636800,8769.69,9126.27,8887.81,9028.79,16392.29936609
1588550400,8533.98,8970,8907.85,8883.53,18380.62654424
1588464000,8731.01,9203.52,8984.69,8909.95,17147.65372312
1588377600,8762.01,9025,8829.42,8985.58,10539.26528999
1588291200,8622.72,9075.98,8624.68,8829.42,21660.21988892
